participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,position_is_top,correct_button,response_window,late_response,response_time
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,0,1,0,1000,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,0,1,0,1000,1,1039.0700101852417
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,0,1,0,1000,0,718.5419797897339
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,0,0,0,1000,0,536.8840098381042
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,1,0,0,1040,1,1174.1859912872314
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,1,1,1,1040,0,961.8819952011108
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,1,1,1,1040,0,630.4929852485657
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,1,0,1,1040,0,501.4200210571289
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,2,1,1,1080,0,995.3790307044983
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,2,1,0,1030,1,1053.7580251693726
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,2,1,1,1030,0,847.5329875946045
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,2,1,1,1030,0,641.2680149078369
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,3,0,1,1070,0,643.310010433197
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,3,0,1,1070,0,591.284990310669
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,3,0,1,1020,0,770.7609534263611
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,3,1,1,1020,0,770.4820036888123
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,4,0,0,1060,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,4,1,1,1060,0,753.0040144920349
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,4,0,1,1000,0,734.8589897155762
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,4,0,1,1000,0,552.6180267333984
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,5,0,1,1100,0,620.9020018577576
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,5,1,0,1050,0,900.65997838974
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,5,1,1,960,0,809.4439506530762
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,5,0,1,960,0,727.7939915657043
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,6,1,0,1090,0,980.2029728889465
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,6,1,0,1090,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,6,1,1,880,0,811.4950060844421
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,6,1,1,880,0,609.421968460083
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,7,0,0,1130,0,602.7159690856934
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,7,1,1,1130,0,742.4889802932739
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,7,1,1,720,0,677.4070262908936
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,7,1,0,720,1,794.3069934844971
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,8,1,0,1170,0,510.7799768447876
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,8,0,0,1120,1,1137.6049518585205
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,8,0,0,400,1,695.0139999389648
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,8,0,1,760,0,533.132016658783
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,9,0,0,1250,0,393.43100786209106
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,9,0,0,1160,1,1242.6849603652954
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,9,1,0,440,1,652.3230075836182
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,9,1,1,750,0,643.9939737319946
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,10,0,0,1410,1,84.60700511932373
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,10,0,1,1200,0,740.4999732971191
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,10,0,0,480,1,653.2530188560486
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,10,1,0,740,1,748.7049698829651
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,11,0,1,1730,0,425.5250096321106
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,11,0,0,1190,0,1071.8169808387756
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,11,1,0,560,0,534.1620445251465
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,11,0,1,780,0,451.5799880027771
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,12,1,0,1720,0,1361.059010028839
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,12,0,1,1230,0,785.927951335907
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,12,0,0,720,1,751.865029335022
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,12,0,0,770,0,392.2150135040283
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,13,0,1,1760,0,1320.6190466880798
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,13,1,0,1220,0,1149.4620442390442
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,13,0,1,1040,0,760.6149911880493
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,13,0,1,810,0,442.3680305480957
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,14,1,0,1750,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,14,0,1,1260,0,916.3990020751953
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,14,1,0,1030,0,736.6489768028259
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,14,1,0,800,0,530.8219790458679
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,15,1,1,1790,0,1200.8150219917297
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,15,1,1,1250,0,980.4650545120239
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_12,15,0,1,1070,0,836.3639712333679
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Feature_4,15,1,1,840,0,467.818021774292
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_12,16,1,0,1780,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:46:55+00:00,2017-10-19 21:30:24+00:00,,Conjunction_4,16,1,0,1240,0,1041.0619974136353
