participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,correct_button,response_window,inter_time_interval,late_response,response_time
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,0,1,500,500,0,303.26002836227417
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,0,1,500,500,0,271.140992641449
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,1,1,490,500,0,368.4459924697876
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,1,1,490,500,0,282.23103284835815
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,2,1,480,500,0,185.73999404907227
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,2,0,,,,
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,3,1,460,500,0,276.01003646850586
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,3,0,480,500,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,4,1,420,500,0,333.06801319122314
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,4,0,,,,
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,5,0,,,,
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,5,1,520,520,0,305.76497316360474
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,6,0,340,500,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,6,1,510,520,0,257.0410370826721
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,7,0,,,,
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,7,1,500,520,0,286.37003898620605
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,8,1,380,500,0,283.8050127029419
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,8,0,480,520,1,3.195047378540039
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,9,1,370,500,0,273.39696884155273
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,9,1,520,520,0,362.2959852218628
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,10,1,360,500,0,349.37894344329834
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,10,1,510,520,0,313.71599435806274
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,11,1,340,500,0,248.47698211669922
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,11,1,500,520,0,318.93497705459595
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,12,1,300,500,0,226.81701183319092
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,12,1,480,520,0,251.65104866027832
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,13,0,220,500,1,290.7299995422363
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,13,0,440,520,1,15.578031539916992
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,14,1,260,500,0,233.2019805908203
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,14,1,480,520,0,289.6620035171509
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,15,0,,,,
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,15,0,470,520,1,65.01901149749756
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,16,0,250,500,1,449.47701692581177
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,16,0,,,,
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,17,0,290,500,1,76.29400491714478
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,17,0,510,520,1,N/A
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,18,1,330,500,0,312.0049834251404
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,18,1,550,550,0,260.2229714393616
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Left,19,1,320,500,0,298.2340455055237
ADMIN-UCSF-BK002,2017-10-16 20:37:02+00:00,2017-10-19 21:30:24+00:00,,Right,19,1,540,550,0,302.4330139160156
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,0,1,500,500,0,251.941978931427
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,0,1,500,500,0,280.45594692230225
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,1,1,490,500,0,265.2360200881958
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,1,1,490,500,0,349.08002614974976
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,2,1,480,500,0,262.6369595527649
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,2,1,480,500,0,219.92599964141846
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Left,3,0,,,,
ADMIN-UCSF-BK004,2017-10-16 20:57:54+00:00,2017-10-19 21:30:24+00:00,,Right,3,1,460,500,0,274.6729850769043
