participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,correct_button,response_window,inter_time_interval,late_response,response_time
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,0,1,500,500,0,326.2919783592224
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,0,1,500,500,0,277.80699729919434
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,1,1,490,500,0,290.51196575164795
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,1,1,490,500,0,266.8229937553406
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,2,1,480,500,0,251.40202045440674
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,2,1,480,500,0,218.8349962234497
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,3,1,460,500,0,312.1640086174011
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,3,1,460,500,0,275.829017162323
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,4,1,420,500,0,235.05300283432007
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,4,0,420,500,1,122.61301279067993
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,5,1,340,500,0,167.8829789161682
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,5,1,460,500,0,273.98502826690674
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,6,0,180,500,1,244.79001760482788
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,6,1,450,500,0,179.5709729194641
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,7,0,220,500,1,83.64498615264893
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,7,1,440,500,0,247.87598848342896
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,8,0,260,500,1,284.8670482635498
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Right,8,1,420,500,0,273.8969922065735
ADMIN-UCSF-BS002,2017-12-08 21:09:44+00:00,2017-12-12 17:39:05+00:00,,Left,9,0,340,500,1,44.23099756240845
