participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,flanking_cue,response_window,response_time,first_button,correct_button,displayed_cue,second_button,late_response,trial_type
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,0,C,800,477.66202688217163,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,1,B,800,505.23900985717773,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,2,D,840,575.1090049743652,NO,0,A,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,3,A,880,374.96399879455566,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,4,D,790,442.9739713668823,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,5,B,960,482.30600357055664,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,6,A,780,539.8310422897339,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,7,B,950,510.39403676986694,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,8,C,940,472.84096479415894,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,9,B,760,433.8659644126892,NO,0,B,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,10,A,920,631.8989992141724,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,11,C,800,409.10202264785767,NO,1,C,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,12,B,880,516.1939859390259,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,13,C,790,433.6320161819458,NO,1,C,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,14,B,780,585.4169726371765,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,15,D,800,453.5520076751709,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,16,B,640,458.64301919937134,NO,1,C,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,17,B,760,579.9850225448608,NO,0,B,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,18,A,800,648.6530303955078,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,19,D,790,536.1340045928955,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,20,B,780,512.3090147972107,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,21,A,320,605.7699918746948,NO,1,D,YES,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,22,B,760,539.588987827301,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,23,B,720,355.50498962402344,NO,0,B,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,24,B,760,407.7879786491394,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,25,A,750,731.3939929008484,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,26,A,310,473.18100929260254,NO,1,D,YES,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,27,C,740,504.11897897720337,YES,0,C,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,28,D,780,430.6179881095886,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,29,D,770,416.41896963119507,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,30,A,300,537.975013256073,YES,0,D,NO,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,31,B,380,436.59698963165283,NO,1,D,YES,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,32,D,760,448.665976524353,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,33,B,370,418.38598251342773,YES,0,C,NO,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,34,C,690,528.4020304679871,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,35,D,680,416.2600040435791,NO,0,B,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,36,B,720,740.7869696617126,NO,1,D,YES,1,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,37,C,710,692.225992679596,YES,1,B,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,38,B,740,407.5689911842346,NO,0,B,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,39,C,700,522.7639675140381,NO,0,A,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,40,A,740,617.0129776000977,YES,0,C,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,41,B,780,730.379045009613,NO,1,D,YES,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,42,B,780,684.4419836997986,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,43,A,770,600.5769968032837,YES,1,A,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,44,D,760,504.1469931602478,NO,1,D,YES,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,45,B,740,557.2670102119446,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,46,D,770,557.2450160980225,YES,1,A,NO,0,INCONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,47,B,700,632.3480010032654,YES,1,B,NO,0,CONGRUENT
ADMIN-UCSF-BS002,2017-12-08 21:14:46+00:00,2017-12-12 17:39:05+00:00,,,48,C,760,654.242992401123,NO,0,B,YES,0,INCONGRUENT
