participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,response_time,response_window,trial_accuracy,position_is_top,correct_button,late_response
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,0,395.6719636917114,600,False Alarm,0,0,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,0,403.1050205230713,600,False Alarm,0,0,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,1,0,640,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,1,381.86895847320557,640,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,2,342.34702587127686,640,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,2,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,3,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,3,317.2309994697571,630,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,4,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,4,454.84596490859985,620,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,5,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,5,0,600,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,6,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,6,0,600,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,7,0,630,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,7,305.79400062561035,600,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,8,331.81101083755493,630,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,8,484.8669767379761,560,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,9,0,620,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,9,0,480,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,10,360.7320189476013,620,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,10,N/A,480,Miss,1,0,1
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,11,0,600,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,11,379.05895709991455,520,False Alarm,0,0,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,12,0,600,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,12,281.75902366638184,560,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,13,0,600,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,13,391.4099931716919,550,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,14,284.7050428390503,600,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,14,434.68397855758667,540,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,15,0,560,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,15,360.83805561065674,520,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,16,0,560,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,16,325.1990079879761,480,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,17,0,560,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,17,401.1250138282776,400,Miss,1,0,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,18,325.3840208053589,560,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,18,274.60598945617676,440,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,19,0,480,Correct Rejection,0,1,N/A
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Sustained,19,425.7349967956543,430,Hit,1,1,0
ADMIN-UCSF-BS002,2017-12-08 21:11:37+00:00,2017-12-12 17:39:05+00:00,,Impulsive,20,0,480,Correct Rejection,0,1,N/A
